molecule_chembl_id,canonical_smiles,standard_value
CHEMBL83760,Oc1nc2c(c3ccccc13)CCCC2,167.0
CHEMBL313782,O=S(=O)(CCN1CCCCC1)N1CCc2c(nc(O)c3ccccc23)C1,376.0
CHEMBL82336,O=C(CCN1CCC(N2CCCC2)CC1)N1CCc2nc(O)c3ccccc3c2C1,99.0
CHEMBL312316,O=C(CN1CCN(C2CCCC2)CC1)N1CCc2c(nc(O)c3ccccc23)C1,116.0
CHEMBL83432,O=S(=O)(CCN1CCC(N2CCCC2)CC1)N1CCc2c(nc(O)c3ccccc23)C1,349.0
CHEMBL420964,O=C(CCN1CCC(N2CCCC2)CC1)N1CCc2c(nc(O)c3ccccc23)C1,243.0
CHEMBL310320,O=C([C@@H]1CCCN1)N1CCc2c(nc(O)c3ccccc23)C1,31.0
CHEMBL84371,O=C(CCN1CCC(N2CCCC2)CC1)N1CCc2nc(O)c3cc(F)ccc3c2C1,32.0
CHEMBL399725,O=c1[nH]c(CCCN2CC=C(c3ccccc3)CC2)nc2ccccc12,16.0
CHEMBL365235,Oc1nc(CCCN2CC=C(c3ccccc3)CC2)nc2cccc(F)c12,16.0
CHEMBL186186,Oc1nc(CCCN2CC=C(c3ccccc3)CC2)nc2ccc(Cl)cc12,27.0
CHEMBL186383,Oc1nc(CCCN2CC=C(c3ccccc3)CC2)nc2cc(Cl)ccc12,250.0
CHEMBL251029,O=c1[nH]c(CCCN2CC=C(c3ccccc3)CC2)nc2c(Cl)cccc12,26.0
CHEMBL186365,Oc1nc(CCCN2CC=C(c3ccccc3)CC2)nc2c(Cl)cc(Cl)cc12,39.0
CHEMBL189386,Cc1cccc2c(O)nc(CCCN3CC=C(c4ccccc4)CC3)nc12,14.0
CHEMBL187062,CCc1cccc2c(O)nc(CCCN3CC=C(c4ccccc4)CC3)nc12,66.0
CHEMBL359579,COc1cccc2c(O)nc(CCCN3CC=C(c4ccccc4)CC3)nc12,26.0
CHEMBL249813,O=c1[nH]c(CCCN2CCC(c3ccccc3)CC2)nc2ccccc12,46.0
CHEMBL189500,Oc1nc(CCCN2CCN(c3ccccc3)CC2)nc2ccccc12,71.0
CHEMBL189247,Oc1nc(CCCC2CC=C(c3ccccc3)CC2)nc2ccccc12,1000.0
CHEMBL186380,Oc1nc(CCCN2CCC3=C(CCc4ccccc43)C2)nc2ccccc12,12.0
CHEMBL364763,Oc1nc(CCCN2CCc3c([nH]c4ccccc34)C2)nc2ccccc12,74.0
CHEMBL188949,Oc1nc(CCCN2CCCCC2)nc2ccccc12,1100.0
CHEMBL251027,O=c1[nH]c(CCCN2CC=C(c3ccc(F)cc3)CC2)nc2ccccc12,8.9
CHEMBL184513,Oc1nc(CCCN2CC=C(c3cccc(F)c3)CC2)nc2ccccc12,23.0
CHEMBL184104,Oc1nc(CCCN2CC=C(c3ccccc3F)CC2)nc2ccccc12,37.0
CHEMBL251028,O=c1[nH]c(CCCN2CC=C(c3ccc(Cl)cc3)CC2)nc2ccccc12,23.0
CHEMBL187042,Cc1ccc(C2=CCN(CCCc3nc(O)c4ccccc4n3)CC2)cc1,17.0
CHEMBL364364,Oc1ccc(C2=CCN(CCCc3nc(O)c4ccccc4n3)CC2)cc1,12.0
CHEMBL365077,COc1ccc(C2=CCN(CCCc3nc(O)c4ccccc4n3)CC2)cc1,8.3
CHEMBL186555,COc1cccc(C2=CCN(CCCc3nc(O)c4ccccc4n3)CC2)c1,1000.0
CHEMBL187689,COc1ccccc1C1=CCN(CCCc2nc(O)c3ccccc3n2)CC1,170.0
CHEMBL359767,Oc1nc(CCCN2CC=C(c3ccc(C(F)(F)F)cc3)CC2)nc2ccccc12,25.0
CHEMBL185742,N#Cc1ccc(C2=CCN(CCCc3nc(O)c4ccccc4n3)CC2)cc1,6.0
CHEMBL362762,Oc1nc(CCCN2CC=C(c3ccc(-c4ccccc4)cc3)CC2)nc2ccccc12,34.0
CHEMBL188985,Oc1nc(CCCN2CC=C(c3ccc(-[n+]4ccccc4)cc3)CC2)nc2ccccc12,12.0
CHEMBL251030,O=c1[nH]c(CCCN2CC=C(c3ccc(F)cc3)CC2)nc2c(Cl)cccc12,13.0
CHEMBL361054,O=c1[nH]c(=O)n(CCCCN2CC=C(c3ccccc3)CC2)c2cccc(F)c12,60.0
CHEMBL363307,Cc1nc(O)c2c(Cl)cccc2n1,1200.0
CHEMBL186418,O=c1[nH]c(CCCN2CC=C(c3ccccc3)CC2)nc2cccc(Cl)c12,65.0
CHEMBL361500,Oc1nc2c(c3ccccc13)Cc1ccccc1-2,3000.0
CHEMBL370673,O=[N+]([O-])c1ccc2c(c1)-c1nc(O)c3ccccc3c1C2,500.0
CHEMBL187834,O=[N+]([O-])c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,300.0
CHEMBL370045,Oc1nc2c(c3ccccc13)Cc1ccc(F)cc1-2,500.0
CHEMBL190895,Oc1nc2c(c3ccccc13)Cc1cc(F)ccc1-2,650.0
CHEMBL363363,Nc1ccc2c(c1)-c1nc(O)c3ccccc3c1C2,300.0
CHEMBL194155,Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,98.0
CHEMBL191469,CN(C)CC(=O)Nc1ccc2c(c1)-c1nc(O)c3ccccc3c1C2,800.0
CHEMBL192951,O=C(CN1CCOCC1)Nc1ccc2c(c1)-c1nc(O)c3ccccc3c1C2,3000.0
CHEMBL363380,CN1CCN(CC(=O)Nc2ccc3c(c2)-c2nc(O)c4ccccc4c2C3)CC1,3000.0
CHEMBL364752,CN(C)CC(=O)Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,107.0
CHEMBL371339,O=C(CN1CCN(c2ccc(F)cc2)CC1)Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,80.0
CHEMBL191185,O=C(CCCN1CCOCC1)Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,105.0
CHEMBL371596,O=C(CO)Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,110.0
CHEMBL371819,CCCNC(=O)Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,100.0
CHEMBL190434,O=S(=O)(NCCCN1CCOCC1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,1.0
CHEMBL364691,O=S(=O)(NCCCn1ccnc1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,394.0
CHEMBL365390,O=S(=O)(NCCCc1ccccc1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,3000.0
CHEMBL365086,O=S(=O)(NCCCN1CCOCC1)c1cc2c(cc1F)-c1nc(O)c3ccccc3c1C2,10.0
CHEMBL189695,O=S(=O)(NCCCNN1CCOCC1)c1cc2c(cc1F)-c1nc(O)c3ccccc3c1C2,450.0
CHEMBL433965,O=S(=O)(c1cc2c(cc1F)-c1nc(O)c3ccccc3c1C2)n1ccnc1,500.0
CHEMBL372717,O=S(=O)([O-])c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12.[Na+],700.0
CHEMBL426270,I.O=S(=O)(NCCCN1CCOCC1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,800.0
CHEMBL66761,O=c1[nH]nc(Cc2ccccc2)c2ccccc12,770.0
CHEMBL371244,CC(=O)Oc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,36.0
CHEMBL381652,CC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,90.0
CHEMBL371425,CCC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,20.0
CHEMBL425560,CCCC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,90.0
CHEMBL193512,CC(C)C(=O)Nc1cccc(Cc2nnc(O)c3ccccc23)c1,370.0
CHEMBL196507,O=C(Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)C1CC1,55.0
CHEMBL382950,COc1ccc(-n2cc(C(=O)Nc3cccc(Cc4nnc(O)c5ccccc45)c3)c(C)n2)cc1,10.0
CHEMBL193903,O=C(Nc1cccc(Cc2nnc(O)c3ccccc23)c1)c1ccc(-n2cccn2)nc1,47.0
CHEMBL383578,Cc1nc(-c2ccccc2)sc1C(=O)Nc1cccc(Cc2nnc(O)c3ccccc23)c1,27.0
CHEMBL372450,O=C(Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)c1ccc(-c2ccsc2)s1,56.0
CHEMBL195464,O=C(Nc1cccc(Cc2nnc(O)c3ccccc23)c1)C(F)(F)F,13.0
CHEMBL193638,CCOC(=O)Nc1cccc(Cc2nnc(O)c3ccccc23)c1,116.0
CHEMBL196883,CCCNC(=O)Nc1cccc(Cc2nnc(O)c3ccccc23)c1,540.0
CHEMBL193917,CCS(=O)(=O)Nc1cccc(Cc2nnc(O)c3ccccc23)c1,290.0
CHEMBL193918,Cc1noc(-c2cccc(Cc3nnc(O)c4ccccc34)c2)n1,189.0
CHEMBL381208,CCNC(=O)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,50.0
CHEMBL196559,O=C1CCCN1c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,120.0
CHEMBL195402,O=C1CCC(=O)N1c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,12.0
CHEMBL363617,O=C1C=CC(=O)N1c1cccc(Cc2nnc(O)c3ccccc23)c1,13.0
CHEMBL370692,O=C1c2ccccc2C(=O)N1c1cccc(Cc2nnc(O)c3ccccc23)c1,180.0
CHEMBL195913,O=C1CCC(=O)N1c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1Cl,19.0
CHEMBL371205,COc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1N1C(=O)CCC1=O,33.0
CHEMBL196444,O=C1CCC(=O)N1c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,5.0
CHEMBL370838,CC1CC(=O)N(c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)C1=O,3.8
CHEMBL197192,CC1(C)CC(=O)N(c2cc(Cc3nnc(O)c4ccccc34)ccc2F)C1=O,9.8
CHEMBL196450,O=C1CC(c2ccccc2)C(=O)N1c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,6.8
CHEMBL436298,O=C1C2CC2C(=O)N1c1cc(Cc2nnc(O)c3ccccc23)ccc1F,5.0
CHEMBL370217,O=C1CCCC(=O)N1c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,4.1
CHEMBL195966,CN1CC(=O)N(c2cc(Cc3nnc(O)c4ccccc34)ccc2F)C(=O)C1,9.5
CHEMBL194535,Oc1nc2cc(CN3CCOCC3)ccc2c2ccccc12,23.0
CHEMBL372303,CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,110.0
CHEMBL370207,O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCCC12,249.0
CHEMBL193336,O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCCCC12,20.0
CHEMBL193679,O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCCCCC12,495.0
CHEMBL195758,O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCSCC12,8.9
CHEMBL370171,O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCNCC12,8600.0
CHEMBL197469,O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCOCC12,200.0
CHEMBL198422,CN1CCC2N=C(CCCN3CC=C(c4ccccc4)CC3)NC(=O)C2C1,6100.0
CHEMBL198230,CC1CCC2N=C(CCCN3CC=C(c4ccccc4)CC3)NC(=O)C2C1,274.0
CHEMBL194404,CC1(C)CCC2N=C(CCCN3CC=C(c4ccccc4)CC3)NC(=O)C2C1,10000.0
CHEMBL194416,CC1=NC2CCSCC2C(=O)N1,467.0
CHEMBL425201,O=c1[nH]nc(CCCCN2CC=C(c3ccccc3)CC2)c2ccccc12,64.0
CHEMBL194684,Oc1nnc(CCCCCN2CCOCC2)c2ccccc12,119.0
CHEMBL373210,Oc1nnc(CCCCN2CCOCC2)c2ccccc12,950.0
CHEMBL194482,O=c1[nH]c2ccc(CCCN3CC=C(c4ccccc4)CC3)cc2c2ccccc12,46.0
CHEMBL196504,Oc1nc2ccc(CCCCN3CC=C(c4ccccc4)CC3)cc2c2ccccc12,119.0
CHEMBL198355,Oc1nc2cc(CN3CC=C(c4ccccc4)CC3)ccc2c2ccccc12,16.0
CHEMBL204250,O=C1NC(=O)c2c1c1c(c3[nH]c4ccccc4c23)CCC1,36.0
CHEMBL381280,O=C1NC(=O)c2c1ccc1c2CCC1,2220.0
